District_Name,Crop_Year,Season,Crop,Area,Yield,Rainfall,Texture,pH,Drainage,Water_Holding,Salinity,Fertility_Level,Temp_Max_C,Temp_Min_C,Irrigation_Level,Net_Cropped_Area_ha,Gross_Cropped_Area_ha,Climate_Type,Soil_Type
0,2013,2,17,30152,0.2188909525072963,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,2,21,331,5135.95166163142,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,2,22,14,0.3571428571428571,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,2,26,212,0.2735849056603773,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,2,68,187,2.625668449197861,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,2,70,9875,112.63837974683544,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,2,73,189,29.92063492063492,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
0,2013,2,77,61,3.672131147540984,960.0,5,6.8,3,3,3,3,38.0,23.0,2,95000.0,130000.0,1,3
1,1997,0,5,5619,32.69976864210714,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,0,33,6849,0.4438604175792086,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,0,43,2813,13.220049768929968,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,0,67,1598,0.3629536921151439,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,0,68,63,0.7936507936507936,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,0,74,936,1.7307692307692308,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,2,1393,0.5025125628140703,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,4,518,1.7567567567567568,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,5,7269,39.33553446141147,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,11,131,0.2290076335877862,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,15,834,0.0839328537170263,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,17,63,0.6349206349206349,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,18,199,0.3517587939698492,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,22,709,0.1833568406205923,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,23,16858,1.815755131095029,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,26,2350,0.6085106382978723,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,29,4481,0.740906047757197,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,31,33861,1.2743273973007294,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,35,89773,0.7256079222037807,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,39,15763,1.1241514940049484,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,42,4526,0.3269995581087052,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,43,1680,12.476190476190476,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,58,34941,0.3752039151712887,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,60,401,1.9950124688279305,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,64,18703,3.083462546115596,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
1,1997,2,70,10756,1140.9445890665677,700.0,1,7.6,0,0,1,0,35.0,22.0,0,180000.0,240000.0,1,0
